,xtsne,ytsne,label
15185,-1.3620461,-1.2118381,2.0
45943,-5.5521016,0.6354958,7.0
13009,-1.3382345,-0.05886072,2.0
58263,-1.0685953,4.7752376,9.0
59940,-2.7304707,4.252096,9.0
42279,-4.499624,-1.2979755,7.0
28891,-1.4717423,2.254378,4.0
54232,-2.2925732,4.4281383,9.0
47307,-4.889135,-0.3354525,7.0
25758,-1.846131,1.4472301,4.0
32380,3.8449814,-1.0346758,5.0
2707,3.316343,1.1600711,0.0
47823,-4.6017733,1.6611825,7.0
59630,-2.560505,0.08594467,9.0
9592,-3.3662481,-3.4552062,1.0
14861,-1.7276996,-0.48972255,2.0
3134,3.805921,1.2955854,0.0
63282,4.6212687,-1.9873055,3.0
49480,0.64335746,-1.519904,8.0
67166,-3.383266,-1.6986881,7.0
5810,5.740673,2.060173,0.0
10293,-2.7846131,-3.6661704,1.0
65353,4.6691713,-1.3212832,5.0
52348,1.3652278,-2.8319292,8.0
36814,1.9211502,4.096393,6.0
31384,1.0572284,0.9465238,5.0
61750,-2.8586698,-2.2084107,1.0
34475,1.2155255,0.5116335,5.0
37222,1.0189363,2.3426948,6.0
52572,-0.21330322,-3.14955,8.0
48243,0.5015421,-3.2980847,8.0
2474,6.0387316,1.0477722,0.0
1134,4.91803,1.0149299,0.0
40159,1.7952414,2.6299596,6.0
38990,1.1362678,2.2767015,6.0
25957,-1.5979786,2.0941653,4.0
26583,-1.222781,3.2004979,4.0
35645,3.197711,-0.57828176,5.0
43789,-4.095941,-1.0014886,7.0
60324,5.0050645,0.22085464,0.0
36812,3.5150466,4.255678,6.0
67856,-4.276164,0.75107944,7.0
32297,0.28071204,1.9430898,5.0
25107,-1.9922302,4.4294925,4.0
34785,2.206456,-0.052935988,5.0
49549,0.96538854,-2.9668636,8.0
2008,5.908416,1.2554349,0.0
16884,-1.8072718,-0.93378884,2.0
41185,1.2479676,2.203798,6.0
38633,2.852178,3.704907,6.0
11858,-1.221897,-2.9350452,1.0
34667,1.9752126,0.080936335,5.0
37556,1.4593858,3.3360994,6.0
2443,5.6796384,1.9726226,0.0
22290,3.8450305,-2.7936857,3.0
35223,4.7024097,-1.0584347,5.0
23794,3.511847,-3.3097463,3.0
68626,0.113293014,-3.2706475,8.0
28781,-0.8034244,2.4214287,4.0
63668,2.1469345,-2.0061927,3.0
39949,1.6342973,3.486976,6.0
17605,-0.02119416,0.5325047,2.0
48924,0.94742763,-3.082721,8.0
64947,-1.4002349,2.1474495,4.0
39567,1.4332728,1.8636861,6.0
19189,4.644125,-1.8404064,3.0
51374,1.5142274,-2.7671573,8.0
64490,-1.5826247,2.5371647,4.0
10072,-3.5654423,-2.8883457,1.0
41223,2.1051116,2.3930452,6.0
43382,-4.7867336,-0.043791693,7.0
42194,-4.3835025,-1.6449965,7.0
7744,-1.7712264,-3.3557754,1.0
54841,-3.1501415,0.6220846,9.0
59906,-3.0905645,0.18717411,9.0
22420,3.850434,-1.3954285,3.0
68032,-0.23245275,-2.4065912,8.0
59045,2.273483,-1.6022094,9.0
4294,4.5291204,1.2592,0.0
121,3.6936119,2.1350448,0.0
3941,5.8934374,1.491397,0.0
20202,1.8248863,-1.8997643,3.0
43822,-4.8403425,1.2732549,7.0
37015,1.1184752,2.4601862,6.0
14278,-0.073031254,0.8235374,2.0
26742,-1.5501637,1.7364588,4.0
19437,2.3592489,-2.8237076,3.0
47769,-4.9092875,-1.5913442,7.0
29492,-1.2833833,2.4565284,4.0
56960,-1.9319777,3.164906,9.0
36768,2.2184486,2.1771057,6.0
44937,-3.8629544,2.1649325,7.0
8720,-3.36682,-3.1989245,1.0
56285,-1.9875879,4.6983724,9.0
35286,2.6137402,0.886856,5.0
9001,-2.4251177,-4.2152576,1.0
59034,-3.0555263,3.683008,9.0
63229,3.8348136,-3.1690564,3.0
47516,-4.8611393,1.8787063,7.0
27725,-1.5517386,2.3266628,4.0
21791,0.12328276,-1.3728539,3.0
45708,-3.426408,-1.5368376,7.0
37050,2.338514,2.67792,6.0
8585,-1.93679,-3.6360836,1.0
51026,0.53327286,-1.6759394,8.0
6799,-3.157265,-2.284862,1.0
51898,0.17628612,-2.1899168,8.0
37993,3.2007532,4.351432,6.0
11956,-3.6692767,-3.39779,1.0
37913,1.9762459,3.8565044,6.0
62392,-0.1509077,0.5797517,2.0
64422,-1.7052487,3.5790024,4.0
27318,-1.0450463,3.4395378,4.0
58357,-2.9523337,0.97482955,9.0
41125,1.0184052,3.0589712,6.0
69143,-3.2723844,2.5142453,9.0
13077,-1.0504841,0.30482307,2.0
36073,1.2236884,2.221279,6.0
2296,4.759475,1.9251124,0.0
11973,-1.8023125,-3.9107919,1.0
63010,-0.49428654,0.13161813,2.0
66593,1.4076288,3.9972348,6.0
57096,-3.6257277,1.9283754,9.0
34344,0.92341167,0.5959196,5.0
44929,-5.06307,-1.4411885,7.0
68931,0.84178996,-3.20703,8.0
21402,2.2595994,-2.3620734,3.0
62654,-0.34047857,0.4607582,2.0
59024,-2.5610805,2.5397332,9.0
49667,1.0956287,-3.4473248,8.0
38441,3.0843577,4.3932824,6.0
2798,5.0436773,1.0483117,0.0
30291,-1.3972734,4.9277706,4.0
14868,-0.88565034,-0.4680613,2.0
20011,3.9177604,-1.6019597,3.0
50608,-0.14743394,-2.5696177,8.0
26739,-1.3234297,1.2149373,4.0
6052,-1.6700426,-4.782824,1.0
15958,3.7934957,0.059384048,2.0
63329,2.1096113,-1.9381301,3.0
31402,0.712508,1.4355431,5.0
35341,1.8858379,0.45911172,5.0
48019,-3.7345598,-1.4948931,7.0
14301,-0.5136453,0.13158518,2.0
5784,5.209363,0.07892226,0.0
17220,-0.057692595,1.0988414,2.0
19368,2.8130658,-0.9606774,3.0
54933,-2.8924649,0.7372867,9.0
28573,-1.9225645,5.210167,4.0
35211,1.8870022,0.16841452,5.0
28928,-1.3462876,1.2016034,4.0
110,4.219864,1.601815,0.0
8401,-2.9822414,-3.300492,1.0
35249,3.876389,-1.2164807,5.0
16411,-0.64844394,-2.6328948,2.0
51377,0.80478287,-2.7364445,8.0
37548,3.491907,3.9334981,6.0
27093,-1.3399686,1.2637385,4.0
17968,0.084493086,0.7536635,2.0
15663,-0.26456356,0.53253776,2.0
3819,4.571115,0.26578957,0.0
9119,-1.656589,-4.4247737,1.0
45460,-3.8866987,-1.3384323,7.0
35292,1.8846855,0.4694903,5.0
41435,1.6271018,3.5893433,6.0
49067,2.3104095,-1.4575785,8.0
21162,4.133142,-3.0678053,3.0
65311,2.9927642,-0.55432147,5.0
54016,0.36615622,-3.1224828,8.0
10470,-3.6131463,-3.0537128,1.0
42154,-5.2459006,0.36544612,7.0
13451,-0.8555676,0.3972092,2.0
39384,2.8779953,3.1521115,6.0
14356,-0.25191796,-0.5475214,2.0
30251,-1.4367075,5.1097655,4.0
12979,0.17326762,0.26734677,2.0
25605,-1.529709,2.4184878,4.0
16022,-0.28710288,-0.049272418,2.0
54202,-3.0267456,3.9760742,9.0
47856,-5.176243,0.4533681,7.0
4144,3.0443928,1.0054014,0.0
36220,2.0231538,4.2193894,6.0
40361,1.4915148,2.665794,6.0
48716,0.42856508,-3.2687244,8.0
14883,-0.27841422,0.47619608,2.0
24887,-1.698403,0.62608004,4.0
45235,-4.0707355,-1.5474584,7.0
7580,0.784042,-4.9935875,1.0
11635,-3.0413249,-3.8972313,1.0
47628,-3.130022,-1.605572,7.0
15278,-3.0496793,-1.327801,2.0
26845,-0.41814646,3.1900632,4.0
58948,-2.3676882,1.5503237,9.0
849,5.8486857,1.9944043,0.0
69621,2.6557658,0.81565285,9.0
53839,-0.44364467,-3.0353596,8.0
28541,-2.0456984,3.666874,4.0
25481,-1.5875204,4.053124,4.0
24950,-1.464562,0.8969805,4.0
47792,-4.827623,-1.0474654,7.0
58494,-3.0404332,0.018959163,9.0
40038,2.5976245,3.9655604,6.0
8580,-3.1142995,-3.1657593,1.0
20735,2.4249074,-1.356637,3.0
5617,4.5678945,0.47719383,0.0
11920,-1.9390727,-4.4376717,1.0
39013,2.031283,2.9532588,6.0
2882,4.475862,2.4655557,0.0
30359,-1.7113438,0.36012194,4.0
4757,5.876553,0.5601749,0.0
60275,5.185227,0.44372526,0.0
54389,-2.4452262,-0.041518282,9.0
61847,-1.8236297,-4.216898,1.0
61035,-3.233315,-2.474477,1.0
28659,-0.84982795,1.8800242,4.0
618,3.8194308,1.7141439,0.0
50585,-0.47053248,-3.3309472,8.0
24859,-1.9543298,3.384892,4.0
5761,3.8383913,1.7081524,0.0
48941,-0.19592343,-2.1825497,8.0
36068,2.277155,4.6538043,6.0
42897,-4.789264,-1.0589522,7.0
37088,1.753703,1.852824,6.0
38006,1.146769,2.9922097,6.0
13204,-0.69868267,0.5624165,2.0
42470,-4.525323,3.2045443,7.0
17448,-0.65794015,-0.5627884,2.0
63345,2.7170203,-1.8264647,3.0
43626,-4.8986216,-0.052699953,7.0
26823,-1.3715469,2.8220043,4.0
47764,-4.9963284,1.2874434,7.0
9841,-0.4206625,-5.22722,1.0
2713,4.8822746,0.89189386,0.0
21756,3.0263872,-3.1602232,3.0
27895,-1.8093415,0.48660493,4.0
48480,2.8533347,-1.422903,8.0
54061,-3.2123568,0.42389235,9.0
61117,-1.2682995,-4.310535,1.0
49482,1.0135213,-3.2767348,8.0
54137,-2.875986,3.1399167,9.0
44603,-4.840929,0.18064107,7.0
17000,-4.4826455,-0.07191533,2.0
54050,-0.21962994,-1.6933637,8.0
2319,4.248734,2.8503337,0.0
66483,3.127442,3.2959287,6.0
61436,0.04699461,-5.127712,1.0
36161,1.1926328,2.2562063,6.0
21764,3.4622812,-2.9305367,3.0
2778,5.2309604,0.9518928,0.0
65411,1.9601822,-0.0042977002,5.0
29553,-1.2549672,4.7593527,4.0
10890,-0.7321074,-5.069852,1.0
35971,3.4444284,-0.47987875,5.0
45436,-3.7892594,-1.0750539,7.0
7284,-1.0442973,-4.8044944,1.0
40490,2.2989225,3.2685993,6.0
28991,-1.3037807,4.911198,4.0
39612,1.531063,3.9340107,6.0
4922,5.528582,0.9213233,0.0
25191,-0.9514805,3.9640186,4.0
13904,-3.525677,-1.4846604,2.0
65788,0.39695635,1.8248727,5.0
7073,-1.8858821,-4.114109,1.0
67471,-5.279237,-0.83932716,7.0
59667,-2.973414,3.869579,9.0
11839,-0.9982394,-4.5371723,1.0
53192,0.29904935,-3.0756338,8.0
31616,1.6480875,0.059362423,5.0
7693,-2.6681683,-2.113003,1.0
31100,0.4124033,1.7809182,5.0
20688,1.5324831,-2.4294453,3.0
13024,-0.12337971,1.0525447,2.0
35996,1.9985213,0.15800974,5.0
50381,0.7068473,-3.1450825,8.0
39865,1.2632239,3.0952878,6.0
16032,0.24402192,0.45217687,2.0
64049,1.5854908,-2.0600893,3.0
58285,-2.1373422,4.355805,9.0
2666,4.4021754,0.89332587,0.0
34110,1.9053011,0.1828667,5.0
12350,-3.4062605,-3.229198,1.0
41222,1.7087666,3.189909,6.0
25839,-2.150557,0.34260812,4.0
35105,3.6059372,-0.6438536,5.0
44503,-3.6675541,-1.4518173,7.0
6840,-1.7912749,-3.869898,1.0
9241,-0.69474405,-4.678665,1.0
14908,1.1326579,2.2257698,2.0
36592,1.3580114,3.3948226,6.0
41574,1.6413062,2.0365179,6.0
22168,2.0456593,-1.7767487,3.0
30918,1.9907936,0.44311994,5.0
5827,4.939664,1.5190943,0.0
46229,-5.0104256,-0.7667151,7.0
41862,1.4416404,2.7171223,6.0
51605,0.079264626,-3.3794446,8.0
69975,-2.9073498,0.6057641,9.0
45444,-5.030437,1.4868155,7.0
61705,-1.2673365,-4.5007935,1.0
69903,-3.4424796,0.89030325,9.0
1931,4.795576,0.3882598,0.0
42374,-4.538008,3.0668314,7.0
63989,3.0099165,-3.5078602,3.0
19617,2.57752,-3.6310027,3.0
16422,-1.3087754,-1.6078265,2.0
24940,-1.2186109,3.2253225,4.0
38656,2.859924,4.641823,6.0
61728,-2.5950034,-3.4751508,1.0
11117,-1.73101,-4.697771,1.0
3688,5.1360097,0.8314648,0.0
58787,-2.5628169,2.8184943,9.0
58928,-2.3342288,3.4566185,9.0
59286,-2.974038,2.8954139,9.0
64417,-1.4913815,2.335466,4.0
59266,-3.0993822,1.4615244,9.0
46304,-5.4192376,0.19909978,7.0
29687,-0.9379064,1.9139254,4.0
58517,-2.7926383,-0.38748074,9.0
47053,-4.567097,-0.3376581,7.0
51043,4.5311856,-1.195925,8.0
56364,-3.1825662,1.2501451,9.0
48104,-3.9603007,-0.7636144,7.0
49483,0.60687405,-2.8904476,8.0
68108,1.125585,-1.8171924,8.0
32160,1.8467078,0.7563629,5.0
54851,-3.2042148,3.7634554,9.0
6271,-3.5052366,-2.711327,1.0
17988,-0.17988914,0.8406788,2.0
61676,-1.6659214,-4.198038,1.0
48152,-3.5099342,-0.91249985,7.0
7385,-2.9728599,-2.552318,1.0
52895,1.4672445,-2.0318146,8.0
35700,2.3209934,0.23544326,5.0
58312,-2.263787,3.7695832,9.0
60292,4.005084,0.42499238,0.0
25781,-3.0125523,1.8594613,4.0
33666,1.1255101,1.0028903,5.0
46619,-4.7301817,2.457364,7.0
52478,1.1437889,-2.4536073,8.0
40310,3.0886407,4.469991,6.0
28064,-1.3783357,1.5425164,4.0
19665,2.5384505,-1.6702085,3.0
47411,-4.7631617,2.9292002,7.0
21172,1.651062,-0.6415354,3.0
62886,-0.636543,-0.403727,2.0
44742,-4.0914106,-1.6083087,7.0
52995,0.35920775,-0.49804166,8.0
30321,-1.6201942,0.9352329,4.0
50535,2.1492784,-2.1631463,8.0
35127,3.9644108,-1.2091044,5.0
8411,-1.5642627,-4.345192,1.0
16898,-0.0080974195,1.0906601,2.0
10541,-3.049513,-3.5882177,1.0
53012,1.2705475,-3.327361,8.0
24675,2.9860647,-2.2619898,3.0
58716,-2.766538,0.049774665,9.0
7461,-2.9329944,-3.0802598,1.0
35424,0.8790393,0.7536299,5.0
13761,-0.7580326,-0.5963767,2.0
2371,6.1262913,1.0127851,0.0
57333,-2.483299,2.4510596,9.0
69591,-3.2837145,1.2664868,9.0
54959,-2.9175982,3.3453033,9.0
47929,-4.1120176,-1.6528189,7.0
57930,-2.7617815,3.5672913,9.0
29614,-0.90669006,3.0590506,4.0
52613,-2.8733158,-0.21612823,8.0
66938,3.313138,4.3675933,6.0
58664,-3.012083,0.6067217,9.0
51622,0.7143091,-2.7741396,8.0
50649,0.20033288,-2.926311,8.0
35345,1.6997137,0.45433667,5.0
55789,-3.0461762,-0.028210843,9.0
13375,-0.16756414,1.0567808,2.0
30583,-1.5010735,1.4648802,4.0
59061,-2.687167,3.6074448,9.0
51940,1.2163085,-2.694903,8.0
52304,0.3112283,-3.2679603,8.0
22451,2.190118,1.0312955,3.0
13494,0.07440047,0.086511,2.0
61908,-2.6882746,-2.0905688,1.0
5920,3.6782582,2.116069,0.0
22910,2.0659714,-1.1130606,3.0
43447,-3.4759846,3.6901088,7.0
66415,3.2644484,4.425838,6.0
21566,3.1988409,-3.196907,3.0
13199,-0.09992798,0.3943139,2.0
29799,-1.2803156,1.6046702,4.0
37385,1.8022344,4.24456,6.0
30670,2.2739484,-0.5335977,5.0
33889,0.57408637,1.6064749,5.0
61809,-1.9452718,-4.095688,1.0
18285,-1.7361676,-0.47696534,2.0
15931,-0.8038024,0.4922762,2.0
63912,3.7720504,-2.4760628,3.0
9341,-2.089763,-3.9366956,1.0
64158,-2.386409,2.7891927,4.0
49316,-3.2241101,0.6961878,8.0
10605,-1.1391424,-4.5330515,1.0
21003,2.7146778,-3.0731134,3.0
41743,1.6479434,2.3020225,6.0
60257,5.7111607,1.5212424,0.0
61933,-3.7385247,-3.096266,1.0
4478,5.997533,1.3534498,0.0
50167,-0.39620408,-2.6094902,8.0
15519,-0.55726117,-0.96549517,2.0
16578,-1.5055156,-1.3100107,2.0
52411,0.6807959,-1.6371403,8.0
1604,5.876438,1.8111497,0.0
29168,-1.8287516,0.14484152,4.0
22383,2.2724335,-2.9188054,3.0
48416,0.34698865,-0.21846563,8.0
3345,3.997879,1.572921,0.0
36132,1.2888039,3.1181219,6.0
54807,-3.2828867,2.5768235,9.0
5199,3.8755682,1.0194631,0.0
25394,-1.2122734,1.8592696,4.0
12661,-2.5352972,-1.9388244,1.0
37286,3.2993348,4.3958583,6.0
65821,0.76045984,1.4740688,5.0
69978,-2.9321616,-0.36903113,9.0
62948,-0.70790905,0.27375856,2.0
14890,-0.505783,0.6740948,2.0
62613,-0.42297888,-0.0039707297,2.0
894,4.263772,0.9223579,0.0
29433,-1.0749552,2.681872,4.0
45919,-3.4960628,3.5273058,7.0
5478,4.878939,1.8239063,0.0
65602,0.3868352,1.8386185,5.0
41726,3.0385294,4.681871,6.0
52114,-0.32407764,-2.1833856,8.0
11552,-2.6650705,-2.204735,1.0
42041,-5.691228,-0.12836055,7.0
746,3.4277813,0.84279394,0.0
16269,-1.3921705,-0.34882912,2.0
28299,-0.52706397,3.0735738,4.0
52879,-0.043355767,-2.4548757,8.0
14867,0.07817617,-0.5120182,2.0
57373,-3.2039309,0.5260858,9.0
48968,-0.54615545,-2.9381473,8.0
32989,3.3043842,-0.5790919,5.0
53416,0.21200009,-2.8599389,8.0
19321,3.2287526,-3.600641,3.0
6876,-1.9525604,-3.3239172,1.0
3622,5.330964,1.5780822,0.0
26907,-0.6247585,4.309983,4.0
69363,-1.4583268,4.7894306,9.0
34108,3.4550169,-0.66033536,5.0
5768,4.154197,0.43253112,0.0
44883,-5.478865,0.69425994,7.0
8763,-0.5808688,-5.013579,1.0
31987,1.328761,1.5094002,5.0
66451,2.2903147,4.3269205,6.0
46792,-4.1723013,-0.052656226,7.0
56959,-2.671289,3.2594938,9.0
56519,-2.8680537,1.0144241,9.0
65164,2.2755792,-0.26847574,5.0
36947,0.9704772,2.8479671,6.0
5470,3.9241543,1.3731287,0.0
24830,-0.9735744,3.2984333,4.0
663,5.4394956,0.41063172,0.0
2456,4.6750684,0.12416208,0.0
66499,2.0670698,3.1076012,6.0
31889,4.09671,-0.99992126,5.0
48906,2.7735212,-1.8238007,8.0
60451,5.9925303,1.5310366,0.0
4882,4.941679,0.8978893,0.0
47128,-4.221862,-1.240977,7.0
33950,0.4409125,1.8227087,5.0
49282,-0.41329527,-2.40381,8.0
20401,2.3583694,-3.1401043,3.0
66433,2.3356757,4.419475,6.0
35402,1.1222339,0.50323945,5.0
26673,-1.5060999,1.8925906,4.0
14357,-3.4020808,-0.91491836,2.0
28400,-0.9046399,4.213422,4.0
42215,-5.1024284,2.0969133,7.0
48271,1.7790464,-1.9122373,8.0
5747,5.6781354,1.3949655,0.0
761,3.6345258,1.36963,0.0
19809,1.9884877,-1.7822717,3.0
53815,0.11970021,-3.060967,8.0
33419,2.8792152,0.0038870582,5.0
1328,5.142033,0.85896564,0.0
35649,1.9204344,1.5586416,5.0
50400,0.18488424,-3.2699366,8.0
39220,2.308568,2.2492597,6.0
4220,4.4638467,2.6553655,0.0
62246,-1.4678082,-1.9392639,2.0
33139,3.3722987,0.47686043,5.0
16737,-1.7061746,-0.1938068,2.0
35064,4.501768,-0.9647877,5.0
45476,-4.6460896,2.0144238,7.0
54461,-3.3833375,1.8179767,9.0
52675,0.7889031,-3.5367756,8.0
19282,2.4208775,-1.7113954,3.0
5234,5.4559774,1.8253715,0.0
35258,3.7296858,-0.8028207,5.0
27296,-1.0481477,3.4249573,4.0
38722,2.7821174,3.4126203,6.0
31179,1.1118932,0.73625994,5.0
4858,4.821798,2.7439477,0.0
67945,-5.284362,1.5730448,7.0
24097,3.2189994,-3.4095275,3.0
62964,-0.8331827,0.1843953,2.0
17143,-1.9126074,-2.5420384,2.0
8775,-1.3186604,-4.7493267,1.0
51944,1.5038373,-3.0089393,8.0
59683,-2.8491545,4.1715775,9.0
25482,-2.0151653,0.22370999,4.0
20505,2.7205698,-2.243292,3.0
254,5.224411,0.57313675,0.0
52385,0.35444552,-3.4024436,8.0
67952,-5.0038376,2.027981,7.0
15358,-3.7487855,-0.24149856,2.0
13132,-0.68351495,-0.36261055,2.0
14945,-1.3458734,-0.652192,2.0
41858,1.2550209,2.3722396,6.0
37526,0.8990372,2.5856292,6.0
56886,-2.248938,4.9206634,9.0
33645,1.6265363,0.3173045,5.0
17777,-0.3441964,-0.12382625,2.0
22206,2.3876061,-2.1259713,3.0
22211,1.9852488,-1.651953,3.0
12815,-0.20287457,1.3368278,2.0
29496,-0.9336416,4.585286,4.0
21660,2.255532,-1.3263038,3.0
57565,-0.7565,2.7279673,9.0
44526,-3.7779999,3.1734498,7.0
65299,2.5613117,-0.27124077,5.0
66607,3.0125058,4.319412,6.0
9416,-2.305624,-4.1185613,1.0
45569,-5.388789,0.21806072,7.0
69606,-2.985873,3.987688,9.0
69791,-3.0498927,-0.17489876,9.0
1995,5.6357613,1.2796966,0.0
66530,1.987756,4.1896143,6.0
17224,-0.09456738,1.2806298,2.0
22862,1.1845219,-1.8565323,3.0
28211,-1.8238763,2.1350245,4.0
23518,1.9526774,-2.8318138,3.0
25043,-0.9561683,3.84358,4.0
68395,1.3691533,-2.743949,8.0
45397,-5.1100807,-1.1993331,7.0
3751,5.028125,1.4421126,0.0
14041,0.031021008,-0.114406176,2.0
46672,-4.4872518,-1.2532803,7.0
39652,2.021287,3.6442847,6.0
15610,-1.2357285,-1.2387234,2.0
22828,1.8056173,-0.9913201,3.0
9128,-1.1869249,-4.627742,1.0
35438,0.6938596,1.4800832,5.0
42942,-5.408727,-0.9032023,7.0
17939,-1.3978084,-1.2440802,2.0
65799,1.9297906,0.27122188,5.0
34569,3.0444498,-0.47655994,5.0
13986,-0.16331409,0.8194952,2.0
65509,4.117685,-1.4199028,5.0
8066,-1.0774198,-4.65284,1.0
67407,-5.3376102,0.6220007,7.0
25946,-1.52453,2.698718,4.0
5081,4.5723033,2.3618362,0.0
39428,1.3175187,2.3146222,6.0
55880,-2.3130693,2.5650458,9.0
47132,-4.1847606,-1.3177259,7.0
44680,-4.7665896,2.9724722,7.0
68823,0.05897424,-2.6054842,8.0
68590,0.7253816,-3.301184,8.0
57637,-2.7821274,3.7636814,9.0
62704,-0.99889106,-1.498004,2.0
3196,5.806623,1.9386199,0.0
20823,-1.3069847,-0.5756474,3.0
16911,-0.27453795,0.0386616,2.0
25723,-1.252199,5.2212515,4.0
64071,3.297457,-3.243646,3.0
306,3.306082,0.9482498,0.0
36108,2.9624126,4.532971,6.0
61708,-1.2626349,-4.4804926,1.0
39360,1.4996507,3.139467,6.0
24956,-1.7997139,3.4884825,4.0
20203,3.899312,-2.8259876,3.0
14330,-1.4037633,-1.0102466,2.0
59455,-2.8531845,2.5837457,9.0
38764,1.9431711,2.1235003,6.0
65637,3.7707698,-0.7790579,5.0
1024,4.5685573,1.4478018,0.0
16849,-0.7538882,-1.2875684,2.0
3861,4.859042,1.4967079,0.0
14700,0.0063120266,0.7151866,2.0
19810,2.4237282,-3.1037323,3.0
23575,3.2302842,-3.5739448,3.0
6975,-2.0711021,-4.2470803,1.0
32923,1.7230372,0.8338126,5.0
8182,0.41169417,-1.197238,1.0
53682,-0.38110003,-2.9838216,8.0
55815,-3.3063805,3.9730284,9.0
5013,5.1489716,2.701344,0.0
60636,4.6562505,0.8810452,0.0
33868,0.41931075,1.7192538,5.0
44399,-5.4183254,1.369332,7.0
10767,-0.8515765,-5.039531,1.0
1874,5.270125,1.6593868,0.0
62570,-0.13029844,1.2092972,2.0
51385,0.2915004,-3.0820448,8.0
68432,0.011197055,-2.325239,8.0
43740,-3.8100674,-1.617889,7.0
46015,-3.609769,-0.58145213,7.0
68191,1.0461156,-2.0195997,8.0
58208,-2.4856927,3.3358734,9.0
33575,2.2519753,0.001879409,5.0
51056,-0.47839433,-2.3572443,8.0
15105,-1.2197961,-1.8303839,2.0
15710,-1.7985573,-1.3942562,2.0
63300,2.5249581,-1.545064,3.0
66926,1.6744425,3.995449,6.0
69009,2.3572292,-0.91048956,9.0
59966,-3.415739,0.9737165,9.0
41012,1.3404453,2.3366477,6.0
39121,2.5157537,2.8009338,6.0
55601,-2.880761,3.7627609,9.0
32260,1.2333332,0.59607005,5.0
36497,2.7354722,2.6247172,6.0
67779,-5.503587,0.26060757,7.0
