a,xtsne,ytsne,label
54489,0.82674706,6.78802,9.0
4681,2.5351636,-6.9378657,0.0
18689,1.7584076,-4.3914323,3.0
34778,2.4180124,-2.3205895,5.0
36969,-5.3259497,-7.871396,6.0
35181,2.9806569,-2.9952097,5.0
15182,-5.070149,-2.1449149,2.0
32875,2.955126,-2.4174714,5.0
4897,-0.67552656,-8.896802,0.0
62503,-6.35855,0.7449625,2.0
37486,-4.2339907,-8.390436,6.0
11564,-9.441498,3.692187,1.0
30931,5.120628,-5.5265727,5.0
39755,-3.2946033,-9.862397,6.0
69049,1.428817,5.1041574,9.0
26662,6.658509,5.6108756,4.0
13870,-4.8223267,-2.3483803,2.0
45344,-3.4254775,8.252509,7.0
30267,7.1115336,3.546551,4.0
50545,2.2603095,0.8853521,8.0
32589,-2.1570375,-1.3650186,5.0
29170,8.467333,4.6335716,4.0
66223,-9.293492,2.2399096,6.0
15712,-6.494351,-2.7778912,2.0
30542,9.104313,4.2590075,4.0
11404,-3.1389263,4.0437465,1.0
48899,3.550226,0.9264908,8.0
10961,-8.247989,3.8733978,1.0
22801,4.267397,-5.3362927,3.0
37529,-3.390103,-3.6964319,6.0
39706,-5.731553,-5.8607707,6.0
25578,-0.18221328,7.0896683,4.0
65742,-2.427709,-1.6100173,5.0
1724,0.40892658,-9.369693,0.0
1687,1.9000174,-6.45665,0.0
62081,-9.104838,4.130258,1.0
32263,-0.90674037,-1.6849835,5.0
46472,0.46939674,9.488245,7.0
22719,3.1540706,-2.808535,3.0
3708,-0.20935455,-6.406737,0.0
43476,-4.916222,7.6064653,7.0
18463,-7.781446,-0.3649815,2.0
37653,-4.395703,-8.697963,6.0
4945,0.022367833,-7.307908,0.0
60960,0.29407763,-8.592162,0.0
15493,-8.594285,-3.734776,2.0
66903,-4.7402706,-7.863055,6.0
27819,3.659316,2.8825433,4.0
25132,-1.4980004,5.9939923,4.0
36714,-3.1280024,-4.4032617,6.0
46045,3.3969185,9.549092,7.0
40685,-3.5704222,-7.0504727,6.0
48184,0.8300977,9.994285,7.0
7886,-9.725084,3.2915068,1.0
58421,2.4975798,6.2030344,9.0
22936,7.510614,-2.4719012,3.0
51034,2.9000568,0.78119165,8.0
29291,8.1073675,4.933048,4.0
27941,5.336159,2.3597856,4.0
11557,-1.8601502,2.4528542,1.0
39539,-4.2223043,-3.6863527,6.0
30813,4.1570764,-3.9050822,5.0
32329,7.275968,-0.8956424,5.0
49899,-0.56022894,1.5424079,8.0
16245,1.3124864,8.586591,2.0
18477,-7.0824018,-2.278202,2.0
45581,0.17696106,10.388583,7.0
10836,-7.8422537,3.3611925,1.0
52883,-0.33409268,0.5514117,8.0
46735,4.402107,9.148179,7.0
30027,3.7072191,5.3607516,4.0
52953,-0.35904676,1.0764169,8.0
65728,0.6321209,-2.429788,5.0
13159,0.06336111,-5.7528796,2.0
50611,1.4541683,0.68565,8.0
6178,-3.0921535,3.727275,1.0
26826,5.9883595,5.903397,4.0
57240,8.140576,2.6584814,9.0
33362,6.598376,-5.367422,5.0
45389,2.4642534,8.601386,7.0
34360,2.1599567,-1.578883,5.0
65479,4.5061035,0.9453929,5.0
23183,-4.216493,0.5323048,3.0
37656,-4.3966665,-8.101438,6.0
41506,-3.8101475,-4.124056,6.0
35511,0.49210644,-1.3664646,5.0
69224,3.8113267,4.0818152,9.0
46211,-3.2850134,5.611685,7.0
7900,-9.202925,3.6679564,1.0
13299,-7.729191,-3.163281,2.0
8109,-9.725324,3.0292218,1.0
6891,-6.7013974,3.8766613,1.0
61015,-2.8292718,3.2211301,1.0
23174,4.5801344,-4.8168473,3.0
1962,-0.14303571,-7.101617,0.0
7216,-3.5363772,4.10289,1.0
5952,-5.6728516,4.7391434,1.0
35260,-0.2957763,-1.8673072,5.0
31259,5.8782887,-5.618547,5.0
19686,7.511732,-1.7725552,3.0
15291,2.1836433,-5.9646215,2.0
49294,6.748601,-0.18900585,8.0
67035,-4.508749,7.988251,7.0
50292,1.7912875,-0.21600702,8.0
59578,8.677064,2.2359881,9.0
36445,-5.906414,-7.5185013,6.0
54165,1.8847687,6.30887,9.0
35662,7.504871,-4.8997955,5.0
33736,-2.0384386,-2.0400631,5.0
24363,5.7314606,-3.7647963,3.0
40160,6.126255,-6.304794,6.0
54877,-1.843979,6.432282,9.0
5379,1.7089111,-10.214056,0.0
6127,-3.091349,3.8472114,1.0
18760,1.2986546,-4.533449,3.0
2605,2.56567,-9.019284,0.0
16310,-8.296217,-3.0177991,2.0
55345,3.7371898,4.714867,9.0
45256,5.2193537,8.823035,7.0
68546,2.5929036,0.6295718,8.0
20646,6.8893743,-0.6620435,3.0
25292,2.714665,3.9539278,4.0
11186,-7.9713855,4.1316504,1.0
37645,-3.2210734,-5.3788133,6.0
2339,0.019799601,-9.82477,0.0
33738,5.9510546,0.819401,5.0
44722,5.2515974,8.621138,7.0
62124,-3.4556262,8.3052025,2.0
26205,8.090466,4.687768,4.0
63043,-8.274645,-2.9508991,2.0
52690,5.6513333,-0.6859524,8.0
52214,0.11857373,0.61314654,8.0
45377,-3.587388,5.9000444,7.0
49865,0.35052088,-0.090993404,8.0
51796,0.2866524,1.0122589,8.0
37338,-5.888383,-6.778177,6.0
15881,-6.5055494,0.31649733,2.0
15963,-5.872248,-2.5134614,2.0
15050,-8.230468,-0.21476752,2.0
51191,2.9924953,0.571549,8.0
24235,4.168692,-5.1273794,3.0
40299,-3.4584525,-3.4500499,6.0
25339,-0.57613367,6.8577995,4.0
64415,4.7996416,4.6099916,4.0
11792,-7.904046,3.4137816,1.0
12607,-1.8186806,2.803004,1.0
42525,5.274488,8.180581,7.0
9587,-5.3064666,2.629613,1.0
50633,8.63419,-3.6597655,8.0
1694,2.361002,-7.065882,0.0
11714,-2.570488,2.1932492,1.0
30052,6.9173503,4.9132767,4.0
56860,0.684007,4.4660783,9.0
48309,1.9338356,0.29050207,8.0
66560,-3.4339406,-8.044138,6.0
46356,0.37143075,8.309224,7.0
38517,-3.7933676,-9.188654,6.0
34317,-2.1175141,-2.2128198,5.0
27051,5.7409015,5.277845,4.0
14665,-6.6038585,-2.404856,2.0
66667,-5.856949,-5.1741037,6.0
60119,1.0433099,-6.3213496,0.0
11907,-5.957776,4.432375,1.0
10802,-7.487126,4.007393,1.0
68931,1.7631311,-0.5148084,8.0
68167,2.0435593,1.2869133,8.0
29152,7.3619976,4.108575,4.0
17064,-8.156089,0.67840844,2.0
20174,3.2331166,-3.7152305,3.0
6514,-8.13742,4.205701,1.0
6304,-5.5927005,4.1670113,1.0
2332,2.9968696,-9.573973,0.0
10443,-8.084952,4.6268997,1.0
43124,-3.6550379,9.077696,7.0
56071,6.422704,2.8448179,9.0
43218,1.3392062,10.051109,7.0
4739,-0.19276977,-8.923702,0.0
65533,8.000236,-4.218382,5.0
1033,-0.2946756,-10.270569,0.0
12907,-5.6627393,-3.067849,2.0
13368,-3.59394,0.017942235,2.0
17136,-4.703518,0.24061157,2.0
53077,2.0110445,0.8551333,8.0
9802,-6.0830693,3.9845004,1.0
16761,-5.875164,1.4204091,2.0
55434,-0.5513068,6.5563445,9.0
39002,-3.5949469,-9.833001,6.0
51162,-0.7507818,0.022891296,8.0
12767,-6.6346197,-2.8341634,2.0
5044,-0.2861175,-6.3810315,0.0
46772,4.193983,8.463164,7.0
29904,-0.7376141,6.378159,4.0
32552,8.491072,-4.8564067,5.0
45602,-3.6033144,9.252903,7.0
28467,-0.41196114,5.4092937,4.0
21240,6.5112643,-2.5861065,3.0
30192,-1.3579657,5.8954,4.0
7337,-9.991643,2.3161333,1.0
38944,-2.9764113,-7.2361474,6.0
26888,7.312012,2.5612414,4.0
47183,-4.647127,5.739393,7.0
13564,-6.646809,-2.5843585,2.0
51432,2.4532123,0.070661806,8.0
46730,0.784584,10.028389,7.0
58251,5.7424507,2.7935407,9.0
63324,6.9304223,-3.0529957,3.0
64622,6.6816816,2.5765183,4.0
28838,7.175846,5.694169,4.0
49803,-1.4548954,0.86557287,8.0
27020,9.352222,3.9980867,4.0
13251,-6.859101,-2.6609752,2.0
3379,1.2149866,-10.352667,0.0
35883,-2.1669562,-1.7568479,5.0
26728,-1.2897723,5.920764,4.0
16713,-7.128991,0.53781307,2.0
27673,0.14311825,3.546594,4.0
38479,-3.9797208,-7.5390573,6.0
34936,8.488823,-5.0207424,5.0
16188,-4.5871406,0.87963474,2.0
11150,-9.625099,1.963325,1.0
4996,3.271142,-8.949762,0.0
69321,8.520687,2.519417,9.0
36819,-3.9834757,-8.473054,6.0
31456,-1.8171334,-1.7188857,5.0
33225,3.2221212,-1.1678283,5.0
26522,4.124229,2.6502113,4.0
15532,-6.5964556,-0.6939203,2.0
58135,-0.98711807,6.6578116,9.0
38095,-2.9935691,-5.607167,6.0
15428,-4.969778,-1.8399292,2.0
51686,6.753198,-3.8858922,8.0
66230,-4.369916,-6.2789736,6.0
63394,8.405613,-3.043787,3.0
2869,-0.6246556,-8.822036,0.0
65845,-1.1768166,-2.8651094,5.0
15435,-6.592537,-2.564082,2.0
20261,-1.3213252,-3.3108268,3.0
35022,-2.7541525,-1.6051444,5.0
69795,2.151326,6.1780887,9.0
17263,-4.866255,-1.5561928,2.0
29511,5.2665963,3.5916078,4.0
53148,2.3033175,-0.21268378,8.0
16921,-6.787019,-0.9440617,2.0
63338,5.0314345,-4.425429,3.0
25643,3.164053,4.898822,4.0
11623,-2.7366996,1.978542,1.0
38196,-3.4627697,-10.069776,6.0
57998,1.3194561,5.560569,9.0
60451,3.0220618,-9.883605,0.0
68280,7.5248437,-5.4274197,8.0
62668,-8.11041,-0.34938198,2.0
15475,-6.9371,0.61997306,2.0
38019,-3.6921065,-9.283411,6.0
12772,-7.269508,-0.37994054,2.0
42829,-1.6252171,9.5803385,7.0
55413,-0.04018517,4.916628,9.0
4270,-0.5607596,-7.379061,0.0
46711,-3.1706214,8.110496,7.0
26724,5.8438354,1.9821248,4.0
25658,7.364328,5.820375,4.0
4177,1.4288969,-10.523431,0.0
41628,-3.5358334,-5.356798,6.0
60376,-4.016679,0.31101012,0.0
23668,3.5259244,-5.6259737,3.0
727,0.76750463,-7.9047446,0.0
3703,-0.6529336,-7.4344826,0.0
63812,0.7489608,-3.899548,3.0
32677,8.30049,-3.585989,5.0
65596,0.24804406,-2.73427,5.0
30039,7.7650533,4.243577,4.0
2610,0.75315183,-7.982676,0.0
1810,2.5186155,-9.627854,0.0
26765,2.7898073,3.922267,4.0
15204,-8.331026,-0.7699602,2.0
15588,-8.6298895,-2.4940948,2.0
60484,-0.65764296,-7.4873147,0.0
23206,5.741331,-2.3674762,3.0
25897,-0.9753036,7.3837714,4.0
43237,-3.2659175,9.116995,7.0
55251,7.8060603,2.8627026,9.0
3535,2.6634536,-8.045593,0.0
1213,-0.07186708,-8.35542,0.0
62895,-4.7633185,-0.9548218,2.0
47930,-2.880792,7.9859786,7.0
19246,6.2058268,-5.205006,3.0
37373,-4.3584366,-4.272684,6.0
61677,-7.7549043,3.5176625,1.0
52420,0.172043,0.0022873753,8.0
33392,-1.7191056,-1.3569928,5.0
17537,-3.469678,0.7153462,2.0
11058,-7.3043323,3.3831863,1.0
41892,-3.2618687,-6.5187187,6.0
59396,0.6917882,4.3118925,9.0
12113,-6.1415586,4.146747,1.0
41675,-2.9273028,-6.155312,6.0
9386,-2.413065,2.7794044,1.0
22302,5.0565414,-2.8972502,3.0
30570,-1.8199867,6.5947137,4.0
