index,xtsne,ytsne,label
26447,-10.487524,-4.5701885,4.0
6548,1.1711912,11.093068,1.0
36594,5.420484,-8.642792,6.0
53271,2.519714,4.7499566,8.0
8952,-2.5384085,5.134387,1.0
44884,-12.256016,1.634293,7.0
14601,4.5125604,8.92522,2.0
4458,10.279696,-6.505229,0.0
59024,-7.332889,-2.6943076,9.0
45271,-6.7590857,10.107588,7.0
57765,-7.1389766,3.833362,9.0
27259,-9.2554035,-0.70125115,4.0
21232,1.9010919,-3.6642766,3.0
13442,6.731794,6.3315954,2.0
28672,-7.6509457,1.997723,4.0
56647,-6.778007,-5.7451463,9.0
57818,-8.596169,3.0919938,9.0
46268,-8.75678,8.938977,7.0
65509,0.6851774,-7.064725,5.0
27231,-10.690571,-3.8095565,4.0
51835,2.548658,2.319654,8.0
21024,3.0947466,-3.4762082,3.0
55255,-9.58497,3.46326,9.0
52371,3.409861,1.0068839,8.0
45428,-10.491156,5.7488947,7.0
51613,1.2299715,0.25551197,8.0
10323,1.7494047,11.332366,1.0
22554,-0.97736317,-9.346324,3.0
19051,3.2675629,-1.071871,3.0
10111,1.3606588,7.2402887,1.0
47739,-10.739263,3.2776947,7.0
49416,-3.890436,-3.7769394,8.0
31094,-0.015975619,2.6556456,5.0
58074,-6.848065,4.331495,9.0
69233,-8.399403,-5.007532,9.0
3690,7.108015,-4.9137454,0.0
34540,4.954602,-4.4580197,5.0
37785,6.596405,-8.988707,6.0
13441,8.739605,8.299123,2.0
32470,-4.598842,-1.4359528,5.0
63501,3.919346,-3.7055597,3.0
17603,4.7890925,7.02848,2.0
38764,4.9800215,-8.111736,6.0
37573,2.9276505,-8.919724,6.0
45036,-9.715832,9.359351,7.0
9444,-0.07549941,6.9322805,1.0
16562,8.650717,4.291944,2.0
4414,8.728305,-5.835298,0.0
20004,5.365005,-2.1392193,3.0
6453,-1.2892393,5.9198565,1.0
11023,-6.0483475,-0.62183136,1.0
33358,-2.4181347,-0.16105133,5.0
66106,2.2903943,-9.635798,6.0
32827,-2.5522137,-1.0466498,5.0
43064,-11.914711,5.2105417,7.0
25015,-8.718359,-6.5554595,4.0
50097,2.123474,1.9684799,8.0
51217,1.1868088,0.35377166,8.0
37839,1.7942923,-10.448515,6.0
21937,1.9018054,-1.8134385,3.0
68643,4.4806967,2.3809533,8.0
35974,5.6628556,-3.7845747,5.0
37402,4.0976305,-11.865134,6.0
65749,0.6763018,4.208206,5.0
24213,4.770672,-4.5261335,3.0
20746,6.4218626,1.4005361,3.0
3441,7.790096,-10.429044,0.0
56384,-7.9908066,-4.50711,9.0
53557,-0.53077596,-1.9670693,8.0
6096,2.37456,12.19023,1.0
29798,-11.1439705,-3.0424066,4.0
1202,8.8165655,-0.0117327925,0.0
45294,-13.215844,-0.59709364,7.0
11941,-2.4557295,2.880684,1.0
60755,12.722472,-2.2979898,0.0
16738,-10.075111,4.6222715,2.0
43799,-11.605526,4.8068185,7.0
26085,-11.106289,-2.3676138,4.0
4475,11.623634,-4.285378,0.0
64477,-9.0677185,-3.9501898,4.0
41054,1.4400376,-14.017915,6.0
37302,4.4585667,-9.180777,6.0
68090,7.3691206,-0.27878696,8.0
4816,8.450652,-3.9018872,0.0
43333,-5.238103,2.3118641,7.0
37133,0.49831387,-12.831458,6.0
41123,0.8189077,-13.774873,6.0
45986,-12.713578,1.3999718,7.0
49552,0.5009662,-6.5481396,8.0
12644,1.4659487,8.61035,1.0
28548,-9.064621,-3.90728,4.0
18109,7.4290075,6.621674,2.0
36837,5.9850874,-9.073268,6.0
12108,1.6862409,10.717052,1.0
11891,-0.45285928,6.1096387,1.0
10051,-2.5035172,4.853083,1.0
63154,1.7952571,-4.4531846,3.0
68410,4.046074,2.721155,8.0
44810,-9.563719,8.534688,7.0
37416,0.6239353,-13.860898,6.0
8698,-1.815386,4.0003614,1.0
45091,-6.023777,9.807166,7.0
60752,13.398158,-2.2949963,0.0
65076,-10.0494585,-3.7507544,4.0
41427,3.2564046,-11.030391,6.0
68786,3.8721366,2.0915744,8.0
67723,-8.023475,9.517429,7.0
13620,7.057725,5.328042,2.0
56624,-7.7235107,-5.8311887,9.0
40106,0.35067835,-13.04305,6.0
47819,-12.8466215,-0.2405071,7.0
38511,1.071717,-13.728943,6.0
29688,-1.9516356,1.5214857,4.0
34375,0.007835669,2.8065438,5.0
23680,5.602981,-6.5721173,3.0
26036,-9.370956,1.6693326,4.0
6256,1.1385584,9.128937,1.0
34539,-1.6731007,-3.284714,5.0
170,12.818636,-3.3336139,0.0
40780,2.8826587,-10.371305,6.0
10881,1.8115823,11.850846,1.0
54802,-5.430702,1.424145,9.0
21839,3.2219524,-1.3743653,3.0
1694,8.914192,-4.4190807,0.0
56459,-7.8830748,2.8382177,9.0
28911,-8.654422,-7.3241663,4.0
57448,-7.4958115,-1.0839852,9.0
8166,1.4773399,12.663599,1.0
45506,-11.188322,6.0867667,7.0
42256,-12.564922,2.8120465,7.0
16182,7.9078875,5.0996947,2.0
42145,-12.95353,1.5533928,7.0
67830,-10.55969,8.224286,7.0
31699,-0.62303555,2.2837496,5.0
11721,-1.764592,6.0676365,1.0
47771,-7.8782053,9.878736,7.0
16796,2.8586423,9.752383,2.0
54993,-8.52305,-5.1175447,9.0
50683,0.5343847,1.2862486,8.0
43130,-9.277137,6.512152,7.0
18198,8.722487,6.7505345,2.0
11492,1.7894089,9.870576,1.0
57558,-8.68126,3.7509527,9.0
58972,-7.8668027,3.114379,9.0
21665,5.3113046,-2.0630805,3.0
62038,-0.73406494,6.136376,1.0
7691,-1.8170081,5.063179,1.0
66861,3.8841507,-11.667108,6.0
6906,1.4292196,7.2982535,1.0
35021,1.8191088,4.9909024,5.0
52638,1.0075202,-1.465385,8.0
50212,1.123945,-0.59406555,8.0
55166,-9.194347,-1.8976424,9.0
60553,8.408016,-3.5883873,0.0
15415,6.079732,7.970226,2.0
53106,-0.99896324,-0.9240208,8.0
69794,-6.8646293,5.6821694,9.0
33883,5.0827236,-0.24851584,5.0
61906,1.9025462,12.223793,1.0
48128,-6.072706,9.490907,7.0
34836,-3.610491,-5.7537985,5.0
16407,-2.0493762,7.884883,2.0
63010,8.632271,6.800479,2.0
28344,-5.654543,5.6732683,4.0
48876,3.1671145,4.457806,8.0
55483,-8.614705,4.4647107,9.0
13266,9.26335,4.9853663,2.0
58624,-4.701568,8.53956,9.0
44711,-6.659244,8.368618,7.0
50020,3.4218705,3.5240908,8.0
14683,10.786817,4.6132236,2.0
23549,0.7326843,-4.9764004,3.0
25546,-11.445864,-4.508934,4.0
64286,-6.010273,2.2400336,4.0
32478,-1.5058672,-6.4067445,5.0
67879,-9.688457,5.746426,7.0
2318,13.343395,-2.1817229,0.0
44746,-4.811852,0.807081,7.0
42843,-10.239553,4.137871,7.0
6878,-3.0423787,3.0027292,1.0
52170,-0.2605881,-0.9460192,8.0
22890,2.6404288,-4.11055,3.0
25279,-9.265133,-7.128389,4.0
54969,-8.459265,4.6456256,9.0
57142,-8.738088,2.7469063,9.0
63861,1.3177457,-3.4211707,3.0
1684,10.446416,-4.911357,0.0
28286,-8.746952,-2.7885528,4.0
41497,4.6366034,-11.9957695,6.0
21683,6.498136,1.6240013,3.0
15869,3.1558428,7.3632584,2.0
21565,2.430282,-5.741276,3.0
60285,8.8529825,-4.420297,0.0
63515,2.7909825,-4.4753795,3.0
11550,-2.6856349,2.9921942,1.0
41520,2.4571862,-10.215561,6.0
43192,-5.4741864,0.6875172,7.0
37264,6.7020755,-9.001108,6.0
57303,-7.9876013,-0.43448815,9.0
12718,6.5819426,6.075725,2.0
1259,12.417719,0.026947293,0.0
13926,10.7929325,4.9390306,2.0
9007,1.9581046,9.909996,1.0
22930,-3.3323865,5.25198,3.0
39478,1.7255147,-10.539441,6.0
54479,-8.547872,4.225648,9.0
6418,0.42817205,5.924724,1.0
59145,-8.364386,3.1451545,9.0
8360,-1.1463838,6.0521655,1.0
42481,-9.827942,6.174419,7.0
15450,-0.31917703,-1.453295,2.0
58620,-6.507753,4.6686244,9.0
16406,8.165393,7.1156483,2.0
24677,4.31921,-2.98842,3.0
29973,-10.324312,-4.326005,4.0
34427,-2.6084285,-2.8586,5.0
31673,0.16567309,2.7977588,5.0
34739,5.7544556,-2.9161327,5.0
8094,-1.3939168,4.2245927,1.0
8006,-2.7038589,3.892639,1.0
38112,3.736412,-10.722758,6.0
46948,-6.310895,3.3156095,7.0
10180,2.232616,11.860072,1.0
44944,-7.93286,7.337794,7.0
49095,0.16967498,-1.9992641,8.0
32437,0.7528365,4.2419753,5.0
24227,-4.3474126,-4.4189215,3.0
63792,4.896283,-2.8446853,3.0
18564,5.168241,7.526571,2.0
63211,-0.42669758,-8.889062,3.0
40315,6.4199085,-8.733509,6.0
31442,-0.70787185,-3.4088323,5.0
39875,4.6429796,-11.847534,6.0
52776,-0.22831053,-1.7901485,8.0
21040,2.6500304,-2.363264,3.0
44972,-11.318161,2.932855,7.0
48823,0.26445127,0.4325273,8.0
19911,0.4181176,-4.533669,3.0
16269,6.267613,6.8843017,2.0
12719,8.618748,4.241544,2.0
18346,10.801527,4.9046397,2.0
27016,-10.223489,-3.2965467,4.0
34426,-2.2599785,-1.7316492,5.0
50252,2.2085495,2.2391784,8.0
1987,10.531032,-5.4844584,0.0
36634,3.60712,-12.756862,6.0
63449,-3.0899327,-4.6470127,3.0
49822,0.97683567,-0.75195193,8.0
54105,-4.697732,8.857075,9.0
25736,-8.460973,1.3967698,4.0
50535,-2.8876235,-7.304719,8.0
67041,-1.976951,4.842786,7.0
9168,-1.6231436,3.7445533,1.0
13032,6.262446,8.097094,2.0
60902,12.419107,-2.736627,0.0
24411,-0.020475589,-5.616478,3.0
3138,9.39752,-3.3863187,0.0
34143,-3.7543406,-3.5249398,5.0
19358,0.54446495,-2.939162,3.0
56438,-4.7590337,8.494943,9.0
27679,-7.8774285,-6.3149786,4.0
68214,0.16929439,-0.8868264,8.0
18906,3.2758462,-4.90559,3.0
3919,11.511014,-4.514954,0.0
26371,-9.971782,-7.114763,4.0
32401,-0.4389512,-7.4642267,5.0
41466,4.2817597,-11.365595,6.0
69231,-7.446733,-5.2737794,9.0
33320,-1.369211,-7.0138016,5.0
59688,-8.700104,-6.239766,9.0
23652,4.2630453,-2.983514,3.0
39523,0.14820847,-12.801721,6.0
23891,4.56553,-1.8249859,3.0
4137,10.981345,-0.44539475,0.0
52137,2.0210326,2.329582,8.0
68402,-0.59896207,0.20772895,8.0
56264,-7.7072372,-3.371768,9.0
8573,0.9559485,10.250685,1.0
20201,1.3188912,-3.4250102,3.0
25561,-8.4013405,1.4771532,4.0
5572,11.080003,-1.2514557,0.0
34075,-1.5804354,-4.1342077,5.0
38240,6.975197,0.34050786,6.0
37550,6.851808,-9.023565,6.0
28811,-9.282627,-1.2459689,4.0
53022,5.338673,-7.4759817,8.0
30877,6.1549025,0.0019957786,5.0
41638,3.3636122,-8.573028,6.0
32428,-2.2760382,0.019760896,5.0
13916,4.470452,8.532727,2.0
25327,-9.531573,-6.816489,4.0
63322,2.7146616,-4.1958704,3.0
63930,7.687038,0.8167296,3.0
29184,-7.8212004,-1.5818661,4.0
14223,9.148455,7.626448,2.0
7346,-1.950634,5.783594,1.0
22638,1.4901149,-0.42432836,3.0
69098,0.17970708,-7.375413,9.0
32699,5.8791947,-0.37529072,5.0
69141,-6.112464,-0.3141534,9.0
69288,-7.4597936,-3.3232696,9.0
459,8.362718,-3.0161932,0.0
40711,7.5388637,-10.347902,6.0
65111,-2.4100664,9.781739,4.0
48704,3.6550617,2.6975906,8.0
3934,10.17987,0.051356357,0.0
10950,-1.1070598,4.4406724,1.0
11896,0.44686875,9.655253,1.0
8964,1.7887801,9.5306015,1.0
51205,4.9726033,3.1423514,8.0
45401,-7.8602753,9.932522,7.0
24260,4.8147583,-4.2273126,3.0
60884,13.155984,-3.0662167,0.0
48732,3.5316541,3.5320113,8.0
27689,-4.5217423,7.2234297,4.0
25988,-7.763205,1.6217346,4.0
24336,4.956692,-4.188159,3.0
10225,-6.0791187,-2.132665,1.0
62887,8.804228,6.8142414,2.0
63401,4.481765,-3.0658858,3.0
52340,3.6662335,3.3538935,8.0
27387,-9.457325,1.5135301,4.0
50054,2.5662932,2.987809,8.0
32206,-0.6913123,-7.342615,5.0
51360,-3.1771247,-5.4033194,8.0
53017,3.8388095,3.780331,8.0
4797,12.25856,-3.7142813,0.0
58964,-6.488907,-2.6335418,9.0
68734,0.8864372,-0.12595393,8.0
21809,2.9757588,-5.519337,3.0
1896,11.893713,-0.8714843,0.0
56004,-7.9691677,5.837597,9.0
56515,-8.746679,4.3701053,9.0
28007,-11.190637,-4.3694725,4.0
7944,0.762838,5.9969454,1.0
64251,-4.9838696,7.062074,4.0
12102,0.9124161,8.681969,1.0
28180,-5.577995,4.2026596,4.0
21730,2.348021,-4.3573337,3.0
56878,-6.9186096,-2.5361066,9.0
51278,-0.07945536,-0.024241155,8.0
25333,-5.0614996,7.5839834,4.0
27059,-6.833058,-4.226374,4.0
68366,7.3935814,-0.06915866,8.0
54854,-7.3349247,-3.0256953,9.0
13720,6.6854787,6.3399405,2.0
56824,-7.760749,3.6684084,9.0
1593,8.737087,-3.2226517,0.0
34386,-2.2865627,-2.4450111,5.0
34158,-1.3799124,-7.3021655,5.0
43241,-12.696722,0.64470553,7.0
7050,-0.41952768,6.5124435,1.0
41156,4.8638835,-8.535433,6.0
35769,-3.2035403,-3.5795727,5.0
58733,-7.895388,-4.2896976,9.0
16970,9.820029,5.4034,2.0
60118,8.445933,-3.8575768,0.0
8207,-2.391288,3.4387574,1.0
60513,10.72553,-1.3489146,0.0
20302,-3.1403646,-7.3151064,3.0
3770,7.2853956,-4.8924704,0.0
56488,-6.6055155,0.11780242,9.0
20694,2.1121252,-6.5111527,3.0
33343,-2.9752436,-3.3242993,5.0
49106,-5.3255095,4.44713,8.0
48074,-12.6715355,1.0020136,7.0
12182,1.048428,9.3790655,1.0
40503,2.4311466,-11.771372,6.0
18330,10.860824,4.9744987,2.0
20930,0.34029195,-7.8156953,3.0
40097,1.2858417,-13.595212,6.0
39416,0.67788994,-11.666191,6.0
47716,-11.325344,0.0021314584,7.0
8242,0.11667407,10.766102,1.0
17180,6.8332276,8.463881,2.0
30728,-2.6120536,-2.137447,5.0
30900,-3.5797627,-0.6185268,5.0
15592,8.638478,5.7310624,2.0
60890,13.829048,-2.3299665,0.0
65803,5.790302,-0.066538714,5.0
13361,10.784036,-3.8751695,2.0
61775,1.1318004,8.947288,1.0
45569,-11.042197,5.165969,7.0
19863,2.3075356,-5.399124,3.0
27714,-7.845386,-2.5883055,4.0
20299,1.1079994,-2.145697,3.0
50295,-0.58046,-2.326044,8.0
23454,2.8864014,-2.1266658,3.0
20763,0.33971003,-3.1711128,3.0
60470,12.967193,-2.3797877,0.0
67940,-12.599514,0.43043563,7.0
59172,-7.716861,5.0697045,9.0
51130,2.2995682,2.4967313,8.0
16506,8.4287615,5.794565,2.0
9892,1.9384004,12.233172,1.0
67501,-7.2207,7.8057456,7.0
83,10.422057,-1.6763821,0.0
34565,0.62592137,3.8170934,5.0
10584,0.013496518,8.1385765,1.0
22737,-2.4721656,-4.1035876,3.0
7185,-1.6860498,4.6251616,1.0
53412,-0.9956227,-0.5902919,8.0
50986,3.150621,3.147861,8.0
58850,-7.2795987,0.315868,9.0
67858,-5.352938,1.3589953,7.0
5246,9.812901,-1.1599911,0.0
12759,10.631528,4.6974854,2.0
9326,1.7125117,10.828877,1.0
27481,-9.54209,-3.2159784,4.0
11352,-2.2027047,4.5341315,1.0
48965,4.595864,3.0330038,8.0
44088,-5.120653,0.45901275,7.0
42377,-11.680902,5.2131658,7.0
26908,-8.897123,-6.808075,4.0
63320,-10.856102,7.003996,3.0
45636,-11.354503,0.12780382,7.0
61401,1.7640665,11.1390505,1.0
1537,10.94382,-6.361808,0.0
42392,-11.640213,1.0442412,7.0
12652,2.028456,12.136136,1.0
69403,-9.229842,-2.1202936,9.0
64563,-9.544596,-6.975016,4.0
5293,9.113689,-4.244878,0.0
30475,-5.132797,4.3678436,4.0
44905,7.492834,3.6506324,7.0
10620,3.0736282,12.808052,1.0
39372,4.279448,-11.65258,6.0
43686,-10.475496,7.8804383,7.0
11362,-2.0176182,4.2201295,1.0
45509,-11.833372,4.8521395,7.0
15922,6.592805,9.093572,2.0
2224,10.875476,-0.24870515,0.0
62574,3.7107983,11.014163,2.0
8730,-1.4729592,6.2874856,1.0
19460,-7.6584287,-7.709895,3.0
68542,-6.942363,3.2392874,8.0
32070,-1.5470212,-4.704199,5.0
62500,7.6328254,5.509337,2.0
19574,-3.3525066,-4.2650223,3.0
38653,0.82408726,-12.133038,6.0
63898,4.4893165,-1.9608221,3.0
30186,-8.238961,1.5868363,4.0
46250,-11.827075,0.49561706,7.0
53187,1.418574,0.0875683,8.0
33456,-1.6065251,-6.479389,5.0
46812,-9.992033,6.504072,7.0
41581,3.6482418,-7.662387,6.0
45768,-12.468276,1.1781045,7.0
32084,-4.357856,-1.4059472,5.0
46207,-5.8265796,9.373229,7.0
69059,-7.2897,2.9120853,9.0
54455,-8.444669,-2.8647847,9.0
12937,8.219311,4.980924,2.0
59712,-8.214419,4.6901946,9.0
58672,-5.683374,1.6766026,9.0
24231,6.097063,1.5963334,3.0
42091,-5.9177322,0.720912,7.0
33220,-2.983725,-3.2322123,5.0
15062,-2.5148652,7.373381,2.0
35199,-0.6286811,-7.1003504,5.0
16930,8.329719,6.9990244,2.0
14662,9.329399,6.29967,2.0
63669,5.3137693,0.4769508,3.0
3548,9.843498,-5.545626,0.0
27275,-8.929375,-3.994347,4.0
67860,-5.4003496,1.3080093,7.0
116,9.364827,-0.18604553,0.0
24234,-2.9817562,-4.766798,3.0
55996,-6.4723363,-3.2401965,9.0
64083,3.480283,-2.8793898,3.0
22488,2.9669936,-5.1216974,3.0
7900,1.2165303,11.169949,1.0
38048,4.9061294,-9.071634,6.0
6137,1.6518056,11.922265,1.0
56146,-7.0738583,5.6696596,9.0
61901,2.0355766,10.207081,1.0
25589,-4.3457317,8.268806,4.0
27081,-8.9764,-3.6427937,4.0
20351,2.5452795,-5.8049645,3.0
30459,-8.293049,1.3244977,4.0
31461,-2.7017674,-4.350889,5.0
52186,3.0890038,4.9925885,8.0
38166,4.2600174,-7.6907835,6.0
27782,-8.120042,0.95287144,4.0
47457,-12.267729,0.739141,7.0
52542,3.1076562,3.2396536,8.0
48619,1.7796152,1.0215826,8.0
25288,-9.527716,1.1326009,4.0
43813,-11.802792,0.9865712,7.0
41926,7.065782,-10.136892,6.0
8278,0.62668175,11.213573,1.0
24791,-6.6548686,-1.973147,4.0
24799,-5.53447,2.865932,4.0
69556,-8.006536,3.1811223,9.0
66275,3.7789755,-8.346166,6.0
19181,-1.0471228,-5.097406,3.0
37723,-0.20806317,-12.716248,6.0
35896,-2.1236582,-4.447338,5.0
34930,-3.312492,-0.5455545,5.0
62731,4.4519825,7.3284035,2.0
69712,-6.255861,4.0902567,9.0
12770,2.899998,5.5596466,2.0
69585,-7.738018,3.4103127,9.0
23471,-1.4916723,-8.137569,3.0
29453,-8.389997,-3.9678788,4.0
35606,0.4346403,3.1338844,5.0
21421,1.8711928,-5.926002,3.0
12595,1.5533527,12.424909,1.0
9719,1.1296744,9.166751,1.0
68583,1.6474969,1.3397889,8.0
66360,-7.9505033,-8.667291,6.0
4706,12.971904,-2.8456836,0.0
19868,6.1193566,3.5418522,3.0
63507,-8.260483,8.275812,3.0
6029,2.2942936,12.362594,1.0
1799,10.86332,-5.2752476,0.0
27301,-7.8630614,-3.84617,4.0
5715,11.292199,-6.2162066,0.0
43261,-12.374558,0.8459685,7.0
3816,12.395813,-4.667594,0.0
59678,-6.79777,-5.80413,9.0
25882,-7.4577603,3.871922,4.0
30232,-3.0862577,-10.0538,4.0
8835,-2.3289843,2.245259,1.0
63820,1.5489169,-4.6386356,3.0
40923,2.3730721,-11.177779,6.0
23942,6.335928,1.3434815,3.0
6732,1.9648346,10.639362,1.0
30653,2.1344914,-0.9462523,5.0
55951,-7.9122567,-2.4711952,9.0
